Company,Fiscal Year,Revenue,NetIncome,TotalAssets,TotalLiabilities,OCF,NetMargin,Equity,DebtToAssets,OCFMargin,OCFtoNI,RevenueGrowth,NetIncomeGrowth
Apple,2023,383285,96995,352583,290437,110543,0.2530623426432028,62146,0.8237407929480435,0.28840940814276583,1.1396773029537606,,
Apple,2024,391035,93736,364980,308030,118254,0.23971255769943867,56950,0.8439640528248123,0.3024128274962599,1.2615643936161134,0.02021994077514111,-0.033599670086086886
Apple,2025,416161,112010,359241,285508,111482,0.2691506412181824,73733,0.7947533828265705,0.26788190147563085,0.995286135166503,0.06425511782832749,0.1949517794657336
Microsoft,2023,211915,72361,411976,205753,87582,0.3414623787839464,206223,0.499429578422044,0.4132883467427978,1.2103481156976825,,
Microsoft,2024,245122,88136,512163,243686,118548,0.35955972944084985,268477,0.47579774407756903,0.48362856047192826,1.345057638195516,0.1566996201307127,0.21800417351888446
Microsoft,2025,281724,101832,619003,275524,136162,0.3614601524896707,343479,0.44510931287893596,0.48331700529596344,1.3371238903291696,0.14932156232406713,0.15539620586366532
Tesla,2023,96773,14997,106618,43009,13256,0.15497091130790613,63609,0.4033934232493575,0.13698035609105846,0.8839101153564046,,
Tesla,2024,97690,7091,122070,48390,14923,0.07258675401781145,73680,0.3964118948144507,0.15275872658409254,2.1044986602735865,0.009475783534663496,-0.5271721010868841
Tesla,2025,94827,3794,137806,54941,14747,0.04000970187815706,82865,0.39868365673483014,0.15551477954590992,3.8869267264101213,-0.02930699150373628,-0.4649555774925962
